Algorithm: Kruskal's MST
MST edges:
38 91 -5
12 98 -5
2 18 -5
14 62 -5
10 30 -5
1 6 -5
1 3 -5
18 33 -5
21 23 -5
79 91 -5
4 39 -5
26 27 -4
8 12 -4
70 88 -4
11 46 -4
41 58 -4
45 49 -4
17 37 -4
19 50 -4
26 89 -4
24 63 -4
33 45 -3
14 46 -3
31 41 -3
37 86 -3
38 51 -3
19 81 -3
27 36 -3
5 32 -3
43 92 -3
26 28 -3
37 49 -3
47 93 -2
44 54 -2
62 76 -2
35 95 -2
16 93 -2
11 50 -2
10 79 -2
50 51 -2
75 87 -2
45 77 -1
12 45 -1
2 21 -1
16 55 -1
20 70 -1
21 87 -1
27 79 -1
91 97 -1
66 93 0
36 64 0
53 74 0
2 22 0
68 82 0
18 44 0
52 97 0
2 20 0
11 13 0
28 61 1
12 27 1
0 14 1
55 59 2
81 96 2
8 31 2
27 83 2
20 84 2
3 11 2
15 19 3
63 97 3
30 68 3
3 72 3
23 60 3
56 81 3
8 47 3
9 45 3
42 78 3
34 85 4
33 39 4
5 90 4
9 35 5
10 94 6
29 58 6
56 65 6
0 5 6
32 43 7
80 95 8
8 42 8
0 34 8
50 99 9
40 79 9
53 72 10
11 57 10
7 10 10
13 25 11
14 73 11
69 78 12
67 82 13
40 71 13
4 48 17
Total MST weight: 85
Execution time: 0.031325 ms

Algorithm: Prim's MST
MST edges:
0 14 1
14 62 -5
14 46 -3
46 11 -4
11 50 -2
50 19 -4
19 81 -3
50 51 -2
51 38 -3
38 91 -5
91 79 -5
79 10 -2
10 30 -5
62 76 -2
79 27 -1
27 26 -4
26 89 -4
26 28 -3
27 36 -3
91 97 -1
11 13 0
97 52 0
36 64 0
27 12 1
12 98 -5
12 8 -4
12 45 -1
45 49 -4
45 33 -3
33 18 -5
18 2 -5
49 37 -3
37 17 -4
37 86 -3
2 21 -1
21 23 -5
45 77 -1
21 87 -1
87 75 -2
2 20 0
20 70 -1
70 88 -4
2 22 0
18 44 0
44 54 -2
28 61 1
11 3 2
3 1 -5
1 6 -5
8 31 2
31 41 -3
41 58 -4
27 83 2
20 84 2
81 96 2
45 9 3
19 15 3
8 47 3
47 93 -2
93 16 -2
16 55 -1
93 66 0
55 59 2
81 56 3
23 60 3
97 63 3
63 24 -4
30 68 3
68 82 0
3 72 3
33 39 4
39 4 -5
9 35 5
35 95 -2
0 5 6
5 32 -3
5 90 4
26 29 6
56 65 6
10 94 6
32 43 7
43 92 -3
0 34 8
34 85 4
8 42 8
42 78 3
95 80 8
79 40 9
50 99 9
10 7 10
72 53 10
53 74 0
11 57 10
13 25 11
14 73 11
78 69 12
82 67 13
40 71 13
4 48 17
Total MST weight: 85
Execution time: 0.046193 ms
